date,1. open,2. high,3. low,4. close,5. volume
2020-04-29 13:48:00,89.055,89.11,89.04,89.085,9395.0
2020-04-29 13:49:00,89.06,89.08,89.05,89.07,6937.0
2020-04-29 13:50:00,89.08,89.12,89.04,89.0599,13235.0
2020-04-29 13:51:00,89.06,89.06,88.93,88.97,25040.0
2020-04-29 13:52:00,88.97,89.0,88.94,88.975,10176.0
2020-04-29 13:53:00,88.97,88.98,88.92,88.948,16095.0
2020-04-29 13:54:00,88.95,88.98,88.83,88.84,21092.0
2020-04-29 13:55:00,88.85,88.87,88.78,88.8199,35465.0
2020-04-29 13:56:00,88.8084,88.84,88.79,88.82,23889.0
2020-04-29 13:57:00,88.835,88.92,88.835,88.855,15202.0
2020-04-29 13:58:00,88.87,88.9108,88.85,88.855,12421.0
2020-04-29 13:59:00,88.84,88.84,88.66,88.7,17163.0
2020-04-29 14:00:00,88.73,88.79,88.7,88.73,22446.0
2020-04-29 14:01:00,88.71,88.73,88.45,88.5142,63625.0
2020-04-29 14:02:00,88.55,88.69,88.51,88.57,36493.0
2020-04-29 14:03:00,88.6,88.689,88.33,88.36,80920.0
2020-04-29 14:04:00,88.37,88.385,88.02,88.105,54046.0
2020-04-29 14:05:00,88.0797,88.32,88.06,88.3,33393.0
2020-04-29 14:06:00,88.3,88.3,88.15,88.155,31841.0
2020-04-29 14:07:00,88.16,88.22,88.115,88.205,32508.0
2020-04-29 14:08:00,88.21,88.24,88.12,88.19,32653.0
2020-04-29 14:09:00,88.18,88.2,88.1,88.12,18811.0
2020-04-29 14:10:00,88.1,88.12,87.98,88.05,46263.0
2020-04-29 14:11:00,88.0857,88.11,88.01,88.02,34016.0
2020-04-29 14:12:00,88.0,88.0,87.83,87.985,63433.0
2020-04-29 14:13:00,87.97,88.07,87.965,87.99,26533.0
2020-04-29 14:14:00,87.99,88.16,87.96,88.14,31121.0
2020-04-29 14:15:00,88.16,88.2443,88.07,88.24,29136.0
2020-04-29 14:16:00,88.245,88.6,88.245,88.53,49781.0
2020-04-29 14:17:00,88.53,88.56,88.41,88.48,15947.0
2020-04-29 14:18:00,88.48,88.52,88.4,88.46,11202.0
2020-04-29 14:19:00,88.4599,88.4599,88.3738,88.4406,12113.0
2020-04-29 14:20:00,88.43,88.56,88.43,88.505,28105.0
2020-04-29 14:21:00,88.52,88.71,88.52,88.615,16759.0
2020-04-29 14:22:00,88.64,88.69,88.605,88.62,13129.0
2020-04-29 14:23:00,88.63,88.82,88.615,88.75,16905.0
2020-04-29 14:24:00,88.75,88.793,88.7052,88.745,9129.0
2020-04-29 14:25:00,88.73,88.85,88.73,88.79,139040.0
2020-04-29 14:26:00,88.7459,88.86,88.73,88.86,19024.0
2020-04-29 14:27:00,88.86,88.87,88.71,88.74,16864.0
2020-04-29 14:28:00,88.73,88.83,88.73,88.83,5514.0
2020-04-29 14:29:00,88.82,88.86,88.77,88.775,8649.0
2020-04-29 14:30:00,88.77,88.77,88.69,88.73,12028.0
2020-04-29 14:31:00,88.73,88.82,88.7,88.72,14142.0
2020-04-29 14:32:00,88.69,88.75,88.641,88.67,9263.0
2020-04-29 14:33:00,88.6829,88.77,88.68,88.72,13227.0
2020-04-29 14:34:00,88.71,88.76,88.7,88.72,10228.0
2020-04-29 14:35:00,88.71,88.72,88.59,88.62,8732.0
2020-04-29 14:36:00,88.6,88.68,88.59,88.6196,7988.0
2020-04-29 14:37:00,88.6,88.73,88.6,88.73,11713.0
2020-04-29 14:38:00,88.71,88.93,88.71,88.85,25262.0
2020-04-29 14:39:00,88.86,88.96,88.85,88.954,12456.0
2020-04-29 14:40:00,88.94,88.94,88.8275,88.845,57260.0
2020-04-29 14:41:00,88.845,88.9,88.84,88.89,11390.0
2020-04-29 14:42:00,88.88,88.94,88.88,88.94,8458.0
2020-04-29 14:43:00,88.9499,88.95,88.92,88.93,10808.0
2020-04-29 14:44:00,88.93,88.99,88.9,88.9,9501.0
